,activity,id,ts
0,buffer_in,3112,8
1,machine_in,3112,8
4,buffer_out,3112,8
2,buffer_in,3879,10
3,machine_out,3112,16
5,machine_in,3879,16
6,buffer_in,9796,16
8,buffer_out,3879,16
12,buffer_out,9796,24
10,buffer_in,7065,24
7,machine_out,3879,24
9,machine_in,9796,24
11,machine_out,9796,27
13,machine_in,7065,27
15,buffer_out,7065,27
14,machine_out,7065,32
20,buffer_out,7337,33
16,buffer_in,7337,33
17,machine_in,7337,33
18,buffer_in,5502,36
24,buffer_out,5502,41
22,buffer_in,8582,41
19,machine_out,7337,41
21,machine_in,5502,41
23,machine_out,5502,46
25,machine_in,8582,46
26,buffer_in,1768,46
28,buffer_out,8582,46
27,machine_out,8582,52
29,machine_in,1768,52
32,buffer_out,1768,52
30,buffer_in,7677,56
36,buffer_out,7677,58
34,buffer_in,2033,58
31,machine_out,1768,58
33,machine_in,7677,58
35,machine_out,7677,66
37,machine_in,2033,66
39,buffer_out,2033,66
38,machine_out,2033,70
